fips,percent_diff,state,county,votes_dem,votes_gop,total_votes
27087,2.941176470588235,MN,Mahnomen County,930,991,2074
27089,41.36420525657071,MN,Marshall County,1225,3208,4794
27091,41.35065431273283,MN,Martin County,2733,7062,10469
27085,38.412545493470354,MN,McLeod County,4978,12155,18684
27093,40.26069847515986,MN,Meeker County,3192,8103,12198
27095,35.76614148903305,MN,Mille Lacs County,3709,8340,12948
27097,52.971369909889354,MN,Morrison County,3637,12925,17534
27099,7.858076988684824,MN,Mower County,7444,8826,17587
27101,36.169754416199915,MN,Murray County,1295,2974,4642
27103,3.070224405492911,MN,Nicollet County,7886,8436,17914
27105,29.864990689013037,MN,Nobles County,2733,5299,8592
27107,13.459158415841586,MN,Norman County,1264,1699,3232
27109,-0.754317141163263,MN,Olmsted County,36266,35668,79277
27111,35.931111386445295,MN,Otter Tail County,9339,20939,32284
27113,27.79193524209264,MN,Pennington County,2146,4000,6671
27115,26.30198849151431,MN,Pine County,4580,8191,13729
27117,46.264908976773384,MN,Pipestone County,1127,3338,4779
27119,29.031160702136344,MN,Polk County,4712,8979,14698
27121,26.803304734667936,MN,Pope County,2106,3793,6294
27123,-39.43773429285818,MN,Ramsey County,176929,70778,269161
27125,32.121859967931584,MN,Red Lake County,540,1141,1871
27127,42.955326460481096,MN,Redwood County,1887,5137,7566
27129,36.665344440037025,MN,Renville County,2117,4890,7563
27131,3.0791197194028,MN,Rice County,14437,15429,32217
27133,35.73954649469523,MN,Rock County,1373,3091,4807
27135,46.28556714304107,MN,Roseau County,1856,5451,7767
27139,15.38647667697271,MN,Scott County,28502,39948,74390
27141,37.026993199549416,MN,Sherburne County,13299,31049,47938
27143,41.91795004529572,MN,Sibley County,1954,5193,7727
27137,-11.808376775121337,MN,St. Louis County,57769,44631,111260
27145,27.907830600746976,MN,Stearns County,25575,47618,78985
27147,26.045168067226893,MN,Steele County,6239,11198,19040
27149,12.785046728971963,MN,Stevens County,2116,2800,5350
27151,25.825281803542673,MN,Swift County,1679,2962,4968
27153,47.73945077026122,MN,Todd County,2783,8485,11944
27155,23.394751535455054,MN,Traverse County,631,1050,1791
27157,26.547092825569536,MN,Wabasha County,3866,6989,11764
27159,45.735422106179286,MN,Wadena County,1684,4837,6894
27161,32.665205136235514,MN,Waseca County,2838,5967,9579
27163,-1.8600841483306847,MN,Washington County,67086,64429,142843
27165,19.191309595654797,MN,Watonwan County,1814,2768,4971
27167,37.69441903019214,MN,Wilkin County,893,2129,3279
27169,2.924338542472536,MN,Winona County,11366,12122,25852
27171,33.16944789889233,MN,Wright County,20336,43274,69154
27173,35.37026461069865,MN,Yellow Medicine County,1524,3382,5253
29001,24.89888527177666,MO,Adair County,3495,6019,10137
29003,50.54704595185996,MO,Andrew County,2045,6665,9140
29005,55.747337495409475,MO,Atchison County,541,2059,2723
29007,43.951010654186994,MO,Audrain County,2567,6981,10043
29009,59.68912626677623,MO,Barry County,2710,11427,14604
29011,70.17869184086311,MO,Barton County,795,4958,5932
29013,54.64405934422142,MO,Bates County,1617,6000,8021
29015,54.13188647746243,MO,Benton County,2024,7212,9584
29017,72.71123654965602,MO,Bollinger County,705,4827,5669
29019,-5.912713654695602,MO,Boone County,41072,36146,83312
29021,26.164834237831453,MO,Buchanan County,12010,21315,35563
29023,61.57729805013928,MO,Butler County,3036,13647,17232
29025,55.55813413785101,MO,Caldwell County,837,3231,4309
29027,42.16029696240916,MO,Callaway County,4988,13052,19127
29029,54.16553962672437,MO,Camden County,4706,16721,22182
29031,50.09084745762712,MO,Cape Girardeau County,8468,26939,36875
29033,62.714973629901394,MO,Carroll County,745,3480,4361
29035,66.39690358902182,MO,Carter County,436,2323,2842
29037,35.86710046337376,MO,Cass County,14816,33006,50715
29039,63.857916533928005,MO,Cedar County,1010,5019,6278
29041,51.99394245330641,MO,Chariton County,888,2948,3962
29043,54.20109194569262,MO,Christian County,8505,30941,41394
29045,52.291917973462,MO,Clark County,724,2458,3316
29047,11.118943215210964,MO,Clay County,45182,57328,109237
29049,43.99333137197215,MO,Clinton County,2572,7058,10197
29051,36.775717237862644,MO,Cole County,10907,24610,37261
29053,46.276328986960884,MO,Cooper County,1932,5623,7976
29055,59.4758064516129,MO,Crawford County,1824,7724,9920
29057,64.46469248291572,MO,Dade County,637,3184,3951
29059,62.1505376344086,MO,Dallas County,1271,5895,7440
29061,55.1097858498238,MO,Daviess County,730,2763,3689
29063,59.172113289760354,MO,DeKalb County,824,3540,4590
29065,68.1764532310416,MO,Dent County,978,5599,6778
29067,67.55702280912365,MO,Douglas County,984,5486,6664
29069,53.584263287308495,MO,Dunklin County,2360,8026,10574
29071,46.12049155759816,MO,Franklin County,12339,35420,50045
29073,55.76303062869425,MO,Gasconade County,1519,5670,7444
29075,56.017144741180346,MO,Gentry County,605,2304,3033
29077,27.417345171578805,MO,Greene County,42400,77387,127609
29079,60.77498300475867,MO,Grundy County,780,3462,4413
29081,64.9375339489408,MO,Harrison County,574,2965,3682
29083,47.853881278538815,MO,Henry County,2356,7072,9855
29085,53.4873860504558,MO,Hickory County,1016,3539,4717
29087,67.29131175468484,MO,Holt County,346,1926,2348
29089,41.1873840445269,MO,Howard County,1279,3277,4851
29091,63.20987654320987,MO,Howell County,2880,13888,17415
29093,52.58215962441315,MO,Iron County,933,3173,4260
29095,-16.644732591315467,MO,Jackson County,163723,114777,294063
29097,50.83750181614396,MO,Jasper County,10565,35058,48179
29099,35.318819654804706,MO,Jefferson County,31546,68973,105969
29101,36.88528477260872,MO,Johnson County,5924,13702,21087
29103,55.38296732726299,MO,Knox County,379,1413,1867
29105,64.48399022495144,MO,Laclede County,2543,12834,15959
29107,43.81915902624091,MO,Lafayette County,4047,10977,15815
29109,61.089120786853776,MO,Lawrence County,2898,13084,16674
29111,54.132973944294704,MO,Lewis County,933,3343,4452
29113,50.48879591262019,MO,Lincoln County,5561,18111,24857
29115,51.05886575735822,MO,Linn County,1239,4084,5572
29117,56.398252184769035,MO,Livingston County,1265,4879,6408
29121,56.41905264546774,MO,Macon County,1518,5794,7579
29123,58.236179014667165,MO,Madison County,1005,4102,5318
29125,61.47176522899066,MO,Maries County,794,3559,4498
29127,49.79848085568129,MO,Marion County,2993,9418,12902
29119,64.01068869184986,MO,McDonald County,1329,6599,8233
29129,73.03047728579644,MO,Mercer County,216,1486,1739
29131,66.01541966006658,MO,Miller County,1750,9285,11414
29133,41.47144240077444,MO,Mississippi County,1458,3600,5165
29135,60.32608695652174,MO,Moniteau County,1237,5344,6808
29137,55.60646250301423,MO,Monroe County,853,3159,4147
29139,55.42035398230089,MO,Montgomery County,1118,4124,5424
29141,56.596710153148045,MO,Morgan County,1768,6757,8815
29143,45.389009793253535,MO,New Madrid County,1933,5270,7352
29145,58.69614426922206,MO,Newton County,4988,20546,26506
29147,40.7882190910054,MO,Nodaway County,2529,6379,9439
29149,60.09862778730704,MO,Oregon County,865,3668,4664
29151,68.4797965526985,MO,Osage County,998,5845,7078
29153,64.76338591424128,MO,Ozark County,724,3639,4501
29155,33.49377593360996,MO,Pemiscot County,1946,3964,6025
29157,61.692624828218044,MO,Perry County,1520,6907,8732
29159,46.938210030479354,MO,Pettis County,4322,12792,18045
29161,42.91042759068058,MO,Phelps County,4761,12699,18499
29163,47.02372881355932,MO,Pike County,1806,5274,7375
