"player","team","G","GS","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","height","weight","college","birth_year","birth_state"
"Luol Deng","LAL",56,49,1486,164,424,51,165,46,63,63,232,74,48,20,43,61,425,206,99,"Duke University",1985,"South Sudan"
"Malachi Richardson","SAC",22,0,198,28,68,8,28,15,19,3,20,11,5,1,8,23,79,198,92,"Syracuse University",1996,"New Jersey"
"Malcolm Brogdon","MIL",75,28,1982,290,635,78,193,109,126,47,166,317,84,12,113,140,767,196,97,"University of Virginia",1992,"Georgia"
"Malcolm Delaney","ATL",73,2,1248,145,388,26,110,75,93,11,113,193,39,1,95,112,391,190,86,"Virginia Polytechnic Institute and State University",1989,"Maryland"
"Malik Beasley","DEN",22,1,165,33,73,9,28,8,10,5,12,11,7,0,8,10,83,196,88,"Florida State University",1996,"Georgia"
"Manny Harris","DAL",4,0,25,3,15,0,2,2,4,3,6,2,0,0,2,1,8,196,83,"University of Michigan",1989,"Michigan"
"Manu Ginobili","SAS",69,0,1291,171,439,89,227,86,107,28,129,183,82,16,96,119,517,198,92,NA,1977,"Argentina"
"Marc Gasol","MEM",74,74,2531,532,1160,104,268,278,332,60,402,338,67,99,166,171,1446,216,115,NA,1985,"Spain"
"Marcelo Huertas","LAL",23,1,237,25,68,4,19,9,17,2,22,52,10,2,19,16,63,190,90,NA,1983,"Brazil"
"Marcin Gortat","WAS",82,82,2556,390,674,0,2,103,159,238,611,121,40,65,118,213,883,211,108,NA,1984,"Poland"
"Marco Belinelli","CHO",74,0,1778,264,615,102,283,150,168,14,164,147,44,9,70,90,780,196,95,NA,1986,"Italy"
"Marcus Georges-Hunt","ORL",5,0,48,2,7,1,2,9,10,1,8,3,1,0,2,5,14,196,97,"Georgia Institute of Technology",1994,"Florida"
"Marcus Morris","DET",79,79,2565,421,1007,118,357,145,185,77,289,160,52,25,87,168,1105,NA,NA,NA,NA,NA
"Marcus Smart","BOS",79,24,2399,269,749,94,332,203,250,78,228,364,125,34,159,192,835,193,99,"Oklahoma State University",1994,"Texas"
"Marcus Thornton","WAS",33,1,575,84,210,28,80,23,27,22,54,41,19,3,25,48,219,193,92,"Louisiana State University",1987,"Louisiana"
"Mario Hezonja","ORL",65,2,960,117,330,43,144,40,50,20,126,62,30,14,58,74,317,203,97,NA,1995,"Croatia"
"Markieff Morris","WAS",76,76,2374,406,889,71,196,180,215,107,385,126,82,42,129,254,1063,NA,NA,NA,NA,NA
"Marquese Chriss","PHO",82,75,1743,284,632,72,224,113,181,96,252,60,67,70,108,263,753,208,105,"University of Washington",1997,"California"
"Marreese Speights","LAC",82,2,1286,244,548,103,277,120,137,88,285,66,23,41,69,229,711,208,115,"University of Florida",1987,"Florida"
"Marshall Plumlee","NYK",21,1,170,16,30,0,0,8,19,23,28,10,4,4,12,23,40,211,111,"Duke University",1990,"Indiana"
"Marvin Williams","CHO",76,76,2295,297,704,124,354,131,150,89,409,106,58,53,60,134,849,185,89,"University of Alabama",1982,"Mississippi"
"Mason Plumlee","POR",81,64,2148,334,623,0,6,174,300,170,436,284,69,92,135,226,842,211,111,"Duke University",1990,"Indiana"
"Matt Barnes","SAC",74,18,1777,185,473,87,263,70,89,70,317,194,48,26,107,185,527,NA,NA,NA,NA,NA
"Matthew Dellavedova","MIL",76,54,1986,208,534,79,215,82,96,24,123,357,53,0,133,153,577,193,89,"Saint Mary's College of California",1990,"Australia"
"Maurice Harkless","POR",77,69,2223,314,624,68,194,77,124,125,216,89,85,70,85,214,773,206,97,"St. John's University",1993,"New York"
"Maurice Ndour","NYK",32,4,331,39,86,1,7,19,26,22,42,8,15,8,12,30,98,206,90,"Ohio University",1992,"Senegal"
"Metta World","LAL",25,2,160,19,68,9,38,10,16,5,15,11,9,2,7,18,57,NA,NA,NA,NA,NA
"Meyers Leonard","POR",74,12,1222,146,378,74,213,35,40,27,209,71,13,28,35,172,401,216,111,"University of Illinois at Urbana-Champaign",1992,"Virginia"
"Michael Beasley","MIL",56,6,935,216,406,18,43,78,105,40,153,53,28,27,66,92,528,206,106,"Kansas State University",1989,"Maryland"
"Michael Carter-Williams","CHI",45,19,846,112,306,15,64,58,77,24,128,113,38,23,66,102,297,198,86,"Syracuse University",1991,"Massachusetts"
"Michael Gbinije","DET",9,0,32,1,10,0,4,2,2,2,1,2,0,0,0,2,4,201,90,"Syracuse University",1992,"Connecticut"
"Michael Kidd-Gilchrist","CHO",81,81,2349,295,618,1,9,152,194,156,409,114,81,77,56,187,743,201,105,"University of Kentucky",1993,"Pennsylvania"
"Mike Conley","MEM",69,68,2292,464,1009,171,419,316,368,31,211,433,92,19,156,126,1415,185,79,"Ohio State University",1987,"Arkansas"
"Mike Dunleavy","ATL",53,2,841,93,220,53,134,36,45,18,97,50,15,7,28,67,275,NA,NA,NA,NA,NA
"Mike Miller","DEN",20,0,151,9,23,8,20,2,2,3,36,22,2,0,13,9,28,203,98,"University of Florida",1980,"South Dakota"
"Mike Muscala","ATL",70,3,1237,170,337,46,110,49,64,76,164,95,30,41,55,97,435,211,108,"Bucknell University",1991,"Minnesota"
"Mike Scott","ATL",18,0,195,17,59,4,27,7,8,10,27,17,4,3,8,12,45,203,107,"University of Virginia",1988,"Virginia"
"Mike Tobey","CHO",2,0,25,1,4,0,0,0,0,2,1,1,0,0,1,2,2,213,117,"University of Virginia",1994,"New York"
"Miles Plumlee","MIL",45,12,484,44,92,0,0,25,39,38,57,21,18,13,30,73,113,211,112,"Duke University",1988,"Indiana"
"Mindaugas Kuzminskas","NYK",68,5,1016,158,369,54,168,55,68,47,79,69,29,11,51,79,425,206,97,NA,1989,"Lithuania"
"Mirza Teletovic","MIL",70,2,1133,156,418,104,305,35,45,11,151,48,12,13,37,109,451,206,109,NA,1985,"Bosnia and Herzegovina"
"Monta Ellis","IND",74,33,1998,247,557,43,135,93,128,19,185,236,79,27,135,149,630,190,83,NA,1985,"Mississippi"
"Montrezl Harrell","HOU",58,14,1064,225,345,1,7,76,121,81,138,64,20,42,44,126,527,203,108,"University of Louisville",1994,"North Carolina"
"Myles Turner","IND",81,81,2541,444,869,40,115,245,303,139,448,106,74,173,105,262,1173,211,110,"University of Texas at Austin",1996,"Texas"
"Nemanja Bjelica","MIN",65,1,1190,151,356,56,177,45,61,57,187,79,40,20,59,154,403,208,108,NA,1988,"Serbia"
"Nene Hilario","HOU",67,8,1198,245,397,3,9,116,197,95,186,65,56,40,73,163,609,211,113,NA,1982,"Brazil"
