"player","team","G","GS","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","height","weight","college","birth_year","birth_state"
"Tim Quarterman","POR",16,0,80,13,29,5,13,0,3,4,10,11,2,3,11,6,31,198,88,"Louisiana State University",1994,"Georgia"
"Timofey Mozgov","LAL",54,52,1104,169,328,0,1,63,78,104,160,43,16,31,72,133,401,216,124,NA,1986,"Russia"
"Timothe Luwawu-Cabarrot","PHI",69,19,1190,145,361,50,161,105,123,25,124,75,32,10,73,154,445,198,92,NA,1995,"France"
"Tobias Harris","DET",82,48,2567,511,1063,109,314,190,226,63,353,142,60,39,95,133,1321,NA,NA,NA,NA,NA
"Tomas Satoransky","WAS",57,3,719,61,146,9,37,23,33,25,58,92,26,6,38,60,154,201,95,NA,1991,"Czech Republic"
"Toney Douglas","MEM",24,0,394,43,117,7,42,24,29,13,48,56,18,5,21,50,117,188,88,"Florida State University",1986,"Georgia"
"Tony Allen","MEM",71,66,1914,274,595,15,54,80,130,166,225,98,115,29,100,178,643,193,96,"Oklahoma State University",1982,"Illinois"
"Tony Parker","SAS",63,63,1587,265,569,23,69,85,117,9,104,285,33,2,89,92,638,188,83,NA,1982,"Belgium"
"Tony Snell","MIL",80,80,2336,246,541,144,355,47,58,22,226,96,54,14,55,125,683,201,90,"University of New Mexico",1991,"California"
"Treveon Graham","CHO",27,1,189,19,40,9,15,10,15,5,17,6,6,1,3,18,57,198,99,"Virginia Commonwealth University",1993,"District of Columbia"
"Trevor Ariza","HOU",80,80,2773,326,798,191,555,93,126,54,405,175,147,20,74,133,936,203,97,"University of California, Los Angeles",1985,"Florida"
"Trevor Booker","BRK",71,43,1754,305,591,25,78,74,110,142,428,138,76,28,127,152,709,203,103,"Clemson University",1987,"South Carolina"
"Trey Burke","WAS",57,0,703,116,255,31,70,22,29,7,40,100,11,5,48,54,285,185,86,"University of Michigan",1992,"Ohio"
"Trey Lyles","UTA",71,4,1158,159,439,65,204,57,79,48,187,70,26,20,64,97,440,208,106,"University of Kentucky",1995,"Canada"
"Tristan Thompson","CLE",78,78,2336,262,437,0,3,106,213,287,429,77,39,84,64,176,630,206,107,"University of Texas at Austin",1991,"Canada"
"Troy Daniels","MEM",67,3,1183,185,495,138,355,43,54,21,79,46,21,4,45,90,551,193,92,"Virginia Commonwealth University",1991,"Virginia"
"Troy Williams","MEM",30,16,557,73,167,18,62,21,32,15,54,25,27,10,33,60,185,NA,NA,NA,NA,NA
"Ty Lawson","SAC",69,24,1732,237,522,34,118,173,217,44,135,335,74,6,129,119,681,180,88,"University of North Carolina",1987,"Maryland"
"Tyler Ennis","HOU",53,2,588,90,208,27,70,21,25,10,36,86,26,2,45,58,228,190,87,"Syracuse University",1994,"Canada"
"Tyler Johnson","MIA",73,0,2178,357,824,93,250,195,254,50,243,233,84,44,90,176,1002,193,84,"California State University, Fresno",1992,"North Dakota"
"Tyler Ulis","PHO",61,15,1123,184,437,21,79,55,71,20,75,226,48,5,77,73,444,178,68,"University of Kentucky",1996,"Michigan"
"Tyler Zeller","BOS",51,5,525,78,158,0,1,22,39,43,81,42,7,21,20,61,178,213,114,"University of North Carolina",1990,"California"
"Tyreke Evans","NOP",40,6,788,150,370,42,118,69,92,13,124,124,35,9,61,60,411,198,99,"University of Memphis",1989,"Pennsylvania"
"Tyson Chandler","PHO",47,46,1298,153,228,0,0,91,124,154,385,30,33,24,67,126,397,216,108,NA,1982,"California"
"Tyus Jones","MIN",60,0,774,75,181,26,73,33,43,10,57,156,47,5,38,50,209,188,88,"Duke University",1996,"Minnesota"
"Udonis Haslem","MIA",17,0,130,11,23,0,3,9,15,8,28,6,5,1,8,22,31,203,106,"University of Florida",1980,"Florida"
"Victor Oladipo","OKC",67,67,2222,412,932,127,352,116,154,39,252,176,78,21,119,155,1067,193,95,"Indiana University",1992,"Maryland"
"Vince Carter","MEM",73,15,1799,193,490,112,296,88,115,36,191,133,60,36,50,163,586,198,99,"University of North Carolina",1977,"Florida"
"Wade Baldwin","MEM",33,1,405,36,115,3,22,31,37,11,35,61,18,7,40,40,106,193,91,"Vanderbilt University",1996,"New Jersey"
"Wayne Ellington","MIA",62,13,1500,231,555,149,394,37,43,18,115,70,35,4,30,70,648,193,90,"University of North Carolina",1987,"Pennsylvania"
"Wayne Selden","MEM",14,5,236,25,58,7,28,14,22,1,15,13,6,1,12,18,71,196,104,"University of Kansas",1994,"Massachusetts"
"Wesley Johnson","LAC",68,3,810,73,200,29,118,11,17,26,155,23,29,30,18,83,186,201,97,"Syracuse University",1987,"Texas"
"Wesley Matthews","DAL",73,73,2495,333,847,174,479,146,179,18,241,210,77,16,102,161,986,NA,NA,NA,NA,NA
"Will Barton","DEN",60,19,1705,295,666,87,235,143,190,58,200,206,48,28,97,110,820,198,79,"University of Memphis",1991,"Maryland"
"Willie Cauley-Stein","SAC",75,21,1421,255,481,0,2,101,151,85,255,80,53,45,69,147,611,213,108,"University of Kentucky",1993,"Kansas"
"Willie Reed","MIA",71,5,1031,162,285,1,4,49,88,129,203,26,18,47,31,137,374,NA,NA,NA,NA,NA
"Willy Hernangomez","NYK",72,22,1324,246,465,4,15,91,125,170,332,96,41,36,100,150,587,211,108,NA,1994,"Spain"
"Wilson Chandler","DEN",71,33,2197,433,939,110,326,141,194,103,356,141,52,30,114,172,1117,203,102,"DePaul University",1987,"Michigan"
"Yogi Ferrell","DAL",46,29,1197,160,394,68,176,74,89,20,91,172,42,9,70,90,462,183,81,"Indiana University",1993,"Indiana"
"Zach LaVine","MIN",47,47,1749,326,710,120,310,117,140,18,141,139,41,10,85,104,889,196,85,"University of California, Los Angeles",1995,"Washington"
"Zach Randolph","MEM",73,5,1786,433,964,21,94,141,193,182,416,122,38,10,99,136,1028,206,117,"Michigan State University",1981,"Indiana"
"Zaza Pachulia","GSW",70,70,1268,164,307,0,2,98,126,140,270,132,59,33,88,166,426,211,122,NA,1984,"Georgia"
